GameId,VisitingTeam,Inning,IsHomeAtBat,Outs,Balls,Strikes,PitchSequence,VisitorScore,HomeScore,BatterId,BattingHand,ResponsibleBatterId,ResponsibleBattingHand,PItcherId,PitcherHand,ResponsiblePitcher,ResponsiblePitcherHand,CatcherId,FirstBaseId,SecondBaseId,ThirdBaseId,ShortstopId,LeftFieldId,CenterFieldId,RightFieldId,RunnerOnFirstId,RunnerOnSecondId,RunnerOnThirdId,EventDescription,IsLeadOff,IsPinchHit,DefensePosition,LineupPosition,EventType,IsBatterEvent,IsAtBat,HitValue,IsSacHit,IsSacFly,OutsOnPlay,IsDoublePlay,IsTriplePlay,RbiOnPlay,IsWildPitch,IsPassedBall,FieldedByPosition,BattedBallType,IsBunt,IsFoul,HitLocation,NumberOfErrors,FirstErrorPlayer,FirstErrorType,SecondErrorPlayer,SecondErrorType,ThirdErrorPlayer,ThirdErrorType,BatterDestination,RunnerOnFirstDestination,RunnerOnSecondDestination,RunnerOnThirdDestination,PlayOnBatter,PlayOnRunnerOnFirst,PlayOnRunnerOnSecond,PlayOnRunnerOnThird,DoesRunnerOnFirstSteal,DoesRunnerOnSecondSteal,DoesRunnerOnThirdSteal,IsRunnerOnFirstCaughtStealing,IsRunnerOnSecondCaughtStealing,IsRunnerOnThirdCaughtStealing,IsPitchoutForRunnerOnFirst,IsPitchoutForRunnerOnSecond,IsPitchoutForRunnerOnThird,RespForFirstPitcherId,RespForSecondPitcherId,RespForThirdPitcherId,IsNewGame,IsEndGame,IsPinchRunnerOnFirst,IsPinchRunnerOnSecond,IsPinchRunnerOnThird,PlayerIdRemovedForPinchRunnerOnFirst,PlayerIdRemovedForPinchRunnerOnSecond,PlayerIdRemovedForPinchRunnerOnThird,BatterIdRemovedForPinchRunner,PositionOfBatterRemovedForPinchRunner,FieldPositionWithFirstPutOut,FieldPositionWithSecondPutOut,FieldPositionWIthThirdPutOut,FieldPositionWithFirstAssist,FieldPositionWithSecondAssist,FIeldPositionWithThirdAssist,FieldPositionWithFourthAssist,FieldPositionWithFifthAssist,EventNumber
BAL201504100,TOR,1,0,0,2,2,CCBFFFBX,0,0,reyej001,L,reyej001,L,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,,,,S8/L,T,F,6,1,20,T,T,1,F,F,0,F,F,0,F,F,8,L,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,T,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,1
BAL201504100,TOR,1,0,0,1,1,FB1X,0,0,pompd001,L,pompd001,L,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,reyej001,,,D9/G+.1-3,F,F,8,2,21,T,T,2,F,F,0,F,F,0,F,F,9,G,F,F,,0,0,N,0,N,0,N,2,3,0,0,,,,,F,F,F,F,F,F,F,F,F,norrb001,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,2
BAL201504100,TOR,1,0,0,0,2,CFX,0,0,bautj002,R,bautj002,R,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,,pompd001,reyej001,S9/G.3-H;2-3,F,F,9,3,20,T,T,1,F,F,0,F,F,1,F,F,9,G,F,F,,0,0,N,0,N,0,N,1,0,3,4,,,,,F,F,F,F,F,F,F,F,F,,norrb001,norrb001,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,3
BAL201504100,TOR,1,0,0,1,1,SBX,1,0,encae001,R,encae001,R,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,bautj002,,pompd001,8/L/SF.3-H,F,F,10,4,2,T,F,0,F,T,1,F,F,1,F,F,8,L,F,F,,0,0,N,0,N,0,N,0,1,0,4,8,,,,F,F,F,F,F,F,F,F,F,norrb001,,norrb001,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,4
BAL201504100,TOR,1,0,1,2,1,BBF1,2,0,donaj001,R,donaj001,R,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,bautj002,,,PO1(E1).1-2,F,F,5,5,8,F,F,0,F,F,0,F,F,0,F,F,0,,F,F,,1,1,T,0,N,0,N,0,2,0,0,,E1,,,F,F,F,F,F,F,T,F,F,norrb001,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,5
BAL201504100,TOR,1,0,1,3,2,BBF1.BSFFB,2,0,donaj001,R,donaj001,R,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,,bautj002,,W,F,F,5,5,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,2,0,,,,,F,F,F,F,F,F,F,F,F,,norrb001,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,6
BAL201504100,TOR,1,0,1,2,2,SBBCX,2,0,navad001,L,navad001,L,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,donaj001,bautj002,,D7/L.2-H;1-H,F,F,2,6,21,T,T,2,F,F,0,F,F,2,F,F,7,L,F,F,,0,0,N,0,N,0,N,2,4,4,0,,,,,F,F,F,F,F,F,F,F,F,norrb001,norrb001,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,7
BAL201504100,TOR,1,0,1,1,2,CSBX,4,0,smoaj001,L,smoaj001,L,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,,navad001,,8/F,F,F,3,7,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,0,2,0,8,,,,F,F,F,F,F,F,F,F,F,,norrb001,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,8
BAL201504100,TOR,1,0,2,1,0,BX,4,0,pillk001,R,pillk001,R,norrb001,R,norrb001,R,josec002,davic003,schoj001,machm001,cabre001,pears001,jonea003,snidt001,,navad001,,53/G,F,F,7,8,2,T,T,0,F,F,1,F,F,0,F,F,5,G,F,F,,0,0,N,0,N,0,N,0,0,2,0,53,,,,F,F,F,F,F,F,F,F,F,,norrb001,,F,F,F,F,F,,,,,0,3,0,0,5,0,0,0,0,9
BAL201504100,TOR,1,1,0,2,2,CBBFX,4,0,cabre001,R,cabre001,R,buehm001,L,buehm001,L,navad001,smoaj001,travd001,donaj001,reyej001,pillk001,pompd001,bautj002,,,,31/G,T,F,6,1,2,T,T,0,F,F,1,F,F,0,F,F,3,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,31,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,1,0,0,3,0,0,0,0,10
