GameId,VisitingTeam,Inning,IsHomeAtBat,Outs,Balls,Strikes,PitchSequence,VisitorScore,HomeScore,BatterId,BattingHand,ResponsibleBatterId,ResponsibleBattingHand,PItcherId,PitcherHand,ResponsiblePitcher,ResponsiblePitcherHand,CatcherId,FirstBaseId,SecondBaseId,ThirdBaseId,ShortstopId,LeftFieldId,CenterFieldId,RightFieldId,RunnerOnFirstId,RunnerOnSecondId,RunnerOnThirdId,EventDescription,IsLeadOff,IsPinchHit,DefensePosition,LineupPosition,EventType,IsBatterEvent,IsAtBat,HitValue,IsSacHit,IsSacFly,OutsOnPlay,IsDoublePlay,IsTriplePlay,RbiOnPlay,IsWildPitch,IsPassedBall,FieldedByPosition,BattedBallType,IsBunt,IsFoul,HitLocation,NumberOfErrors,FirstErrorPlayer,FirstErrorType,SecondErrorPlayer,SecondErrorType,ThirdErrorPlayer,ThirdErrorType,BatterDestination,RunnerOnFirstDestination,RunnerOnSecondDestination,RunnerOnThirdDestination,PlayOnBatter,PlayOnRunnerOnFirst,PlayOnRunnerOnSecond,PlayOnRunnerOnThird,DoesRunnerOnFirstSteal,DoesRunnerOnSecondSteal,DoesRunnerOnThirdSteal,IsRunnerOnFirstCaughtStealing,IsRunnerOnSecondCaughtStealing,IsRunnerOnThirdCaughtStealing,IsPitchoutForRunnerOnFirst,IsPitchoutForRunnerOnSecond,IsPitchoutForRunnerOnThird,RespForFirstPitcherId,RespForSecondPitcherId,RespForThirdPitcherId,IsNewGame,IsEndGame,IsPinchRunnerOnFirst,IsPinchRunnerOnSecond,IsPinchRunnerOnThird,PlayerIdRemovedForPinchRunnerOnFirst,PlayerIdRemovedForPinchRunnerOnSecond,PlayerIdRemovedForPinchRunnerOnThird,BatterIdRemovedForPinchRunner,PositionOfBatterRemovedForPinchRunner,FieldPositionWithFirstPutOut,FieldPositionWithSecondPutOut,FieldPositionWIthThirdPutOut,FieldPositionWithFirstAssist,FieldPositionWithSecondAssist,FIeldPositionWithThirdAssist,FieldPositionWithFourthAssist,FieldPositionWithFifthAssist,EventNumber
BOS201504130,WAS,1,0,0,1,2,CFFFBS,0,0,taylm002,R,taylm002,R,porcr001,R,porcr001,R,leons001,napom001,pedrd001,sandp001,bogax001,ramih003,bettm001,victs001,,,,K,T,F,8,1,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,T,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,1
BOS201504130,WAS,1,0,1,1,1,FBX,0,0,escoy001,R,escoy001,R,porcr001,R,porcr001,R,leons001,napom001,pedrd001,sandp001,bogax001,ramih003,bettm001,victs001,,,,S4/P,F,F,5,2,20,T,T,1,F,F,0,F,F,0,F,F,4,P,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,2
BOS201504130,WAS,1,0,1,0,0,X,0,0,harpb003,L,harpb003,L,porcr001,R,porcr001,R,leons001,napom001,pedrd001,sandp001,bogax001,ramih003,bettm001,victs001,escoy001,,,8/F.1-2,F,F,9,3,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,2,0,0,8,,,,F,F,F,F,F,F,F,F,F,porcr001,,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,3
BOS201504130,WAS,1,0,2,2,2,BCBCS,0,0,wertj001,R,wertj001,R,porcr001,R,porcr001,R,leons001,napom001,pedrd001,sandp001,bogax001,ramih003,bettm001,victs001,,escoy001,,K,F,F,7,4,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,2,0,2,,,,F,F,F,F,F,F,F,F,F,,porcr001,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,4
BOS201504130,WAS,1,1,0,3,1,BBCBB,0,0,bettm001,R,bettm001,R,zimmj003,R,zimmj003,R,lobaj001,zimmr001,espid001,escoy001,desmi001,wertj001,taylm002,harpb003,,,,W,T,F,8,1,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,5
BOS201504130,WAS,1,1,0,0,1,C1>X,0,0,pedrd001,R,pedrd001,R,zimmj003,R,zimmj003,R,lobaj001,zimmr001,espid001,escoy001,desmi001,wertj001,taylm002,harpb003,bettm001,,,8/F,F,F,4,2,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,1,0,0,8,,,,F,F,F,F,F,F,F,F,F,zimmj003,,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,6
BOS201504130,WAS,1,1,1,1,0,B1>B,0,0,ortid001,L,ortid001,L,zimmj003,R,zimmj003,R,lobaj001,zimmr001,espid001,escoy001,desmi001,wertj001,taylm002,harpb003,bettm001,,,SB2/MREV,F,F,10,3,4,F,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,2,0,0,,,,,T,F,F,F,F,F,F,F,F,zimmj003,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,7
BOS201504130,WAS,1,1,1,2,0,B1>BN,0,0,ortid001,L,ortid001,L,zimmj003,R,zimmj003,R,lobaj001,zimmr001,espid001,escoy001,desmi001,wertj001,taylm002,harpb003,,bettm001,,SB3,F,F,10,3,4,F,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,3,0,,,,,F,T,F,F,F,F,F,F,F,,zimmj003,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,8
BOS201504130,WAS,1,1,1,2,0,B1>BN..X,0,0,ortid001,L,ortid001,L,zimmj003,R,zimmj003,R,lobaj001,zimmr001,espid001,escoy001,desmi001,wertj001,taylm002,harpb003,,,bettm001,S7/L.3-H,F,F,10,3,20,T,T,1,F,F,0,F,F,1,F,F,7,L,F,F,,0,0,N,0,N,0,N,1,0,0,4,,,,,F,F,F,F,F,F,F,F,F,,,zimmj003,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,9
BOS201504130,WAS,1,1,1,2,0,BBX,0,1,ramih003,R,ramih003,R,zimmj003,R,zimmj003,R,lobaj001,zimmr001,espid001,escoy001,desmi001,wertj001,taylm002,harpb003,ortid001,,,46(1)/FO/G,F,F,7,4,2,T,T,0,F,F,1,F,F,0,F,F,4,G,F,F,,0,0,N,0,N,0,N,1,0,0,0,,46,,,F,F,F,F,F,F,F,F,F,zimmj003,,,F,F,F,F,F,,,,,0,6,0,0,4,0,0,0,0,10
