GameId,VisitingTeam,Inning,IsHomeAtBat,Outs,Balls,Strikes,PitchSequence,VisitorScore,HomeScore,BatterId,BattingHand,ResponsibleBatterId,ResponsibleBattingHand,PItcherId,PitcherHand,ResponsiblePitcher,ResponsiblePitcherHand,CatcherId,FirstBaseId,SecondBaseId,ThirdBaseId,ShortstopId,LeftFieldId,CenterFieldId,RightFieldId,RunnerOnFirstId,RunnerOnSecondId,RunnerOnThirdId,EventDescription,IsLeadOff,IsPinchHit,DefensePosition,LineupPosition,EventType,IsBatterEvent,IsAtBat,HitValue,IsSacHit,IsSacFly,OutsOnPlay,IsDoublePlay,IsTriplePlay,RbiOnPlay,IsWildPitch,IsPassedBall,FieldedByPosition,BattedBallType,IsBunt,IsFoul,HitLocation,NumberOfErrors,FirstErrorPlayer,FirstErrorType,SecondErrorPlayer,SecondErrorType,ThirdErrorPlayer,ThirdErrorType,BatterDestination,RunnerOnFirstDestination,RunnerOnSecondDestination,RunnerOnThirdDestination,PlayOnBatter,PlayOnRunnerOnFirst,PlayOnRunnerOnSecond,PlayOnRunnerOnThird,DoesRunnerOnFirstSteal,DoesRunnerOnSecondSteal,DoesRunnerOnThirdSteal,IsRunnerOnFirstCaughtStealing,IsRunnerOnSecondCaughtStealing,IsRunnerOnThirdCaughtStealing,IsPitchoutForRunnerOnFirst,IsPitchoutForRunnerOnSecond,IsPitchoutForRunnerOnThird,RespForFirstPitcherId,RespForSecondPitcherId,RespForThirdPitcherId,IsNewGame,IsEndGame,IsPinchRunnerOnFirst,IsPinchRunnerOnSecond,IsPinchRunnerOnThird,PlayerIdRemovedForPinchRunnerOnFirst,PlayerIdRemovedForPinchRunnerOnSecond,PlayerIdRemovedForPinchRunnerOnThird,BatterIdRemovedForPinchRunner,PositionOfBatterRemovedForPinchRunner,FieldPositionWithFirstPutOut,FieldPositionWithSecondPutOut,FieldPositionWIthThirdPutOut,FieldPositionWithFirstAssist,FieldPositionWithSecondAssist,FIeldPositionWithThirdAssist,FieldPositionWithFourthAssist,FieldPositionWithFifthAssist,EventNumber
PIT201504130,DET,1,0,0,1,0,BX,0,0,gosea001,L,gosea001,L,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,63/G,T,F,8,1,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,63,,,,F,F,F,F,F,F,F,F,F,,,,T,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,1
PIT201504130,DET,1,0,1,3,2,BFBCFBS,0,0,kinsi001,R,kinsi001,R,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,K,F,F,4,2,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,2
PIT201504130,DET,1,0,2,0,2,CSFX,0,0,cabrm001,R,cabrm001,R,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,8/F,F,F,3,3,2,T,T,0,F,F,1,F,F,0,F,F,8,F,F,F,,0,0,N,0,N,0,N,0,0,0,0,8,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,8,0,0,0,0,0,0,0,3
PIT201504130,DET,1,1,0,0,0,X,0,0,harrj002,R,harrj002,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,HR/8/F,T,F,5,1,23,T,T,4,F,F,0,F,F,1,F,F,0,F,F,F,8,0,0,N,0,N,0,N,4,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,4
PIT201504130,DET,1,1,0,0,0,X,0,1,polag001,L,polag001,L,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,7/F,F,F,9,2,2,T,T,0,F,F,1,F,F,0,F,F,7,F,F,F,,0,0,N,0,N,0,N,0,0,0,0,7,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,7,0,0,0,0,0,0,0,5
PIT201504130,DET,1,1,1,3,2,CBBCBC,0,1,mccua001,R,mccua001,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,K,F,F,8,3,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,6
PIT201504130,DET,1,1,2,0,2,FFX,0,1,walkn001,L,walkn001,L,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,S9/G,F,F,4,4,20,T,T,1,F,F,0,F,F,0,F,F,9,G,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,7
PIT201504130,DET,1,1,2,2,2,C11BF1BC,0,1,marts002,R,marts002,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,walkn001,,,K,F,F,7,5,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,0,0,2,,,,F,F,F,F,F,F,F,F,F,sanca004,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,8
PIT201504130,DET,2,0,0,3,2,CBBSBC,0,1,martj006,R,martj006,R,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,K,T,F,9,4,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,9
PIT201504130,DET,2,0,1,1,1,BFX,0,1,cespy001,R,cespy001,R,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,13/G,F,F,7,5,2,T,T,0,F,F,1,F,F,0,F,F,1,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,13,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,1,0,0,0,0,10
PIT201504130,DET,2,0,2,0,1,FX,0,1,castn001,R,castn001,R,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,S7/L,F,F,5,6,20,T,T,1,F,F,0,F,F,0,F,F,7,L,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,11
PIT201504130,DET,2,0,2,3,2,CFB*BB>X,0,1,avila001,L,avila001,L,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,castn001,,,43/G,F,F,2,7,2,T,T,0,F,F,1,F,F,0,F,F,4,G,F,F,,0,0,N,0,N,0,N,0,1,0,0,43,,,,F,F,F,F,F,F,F,F,F,coleg001,,,F,F,F,F,F,,,,,0,3,0,0,4,0,0,0,0,12
PIT201504130,DET,2,1,0,0,2,SSS,0,1,alvap001,L,alvap001,L,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,K,T,F,3,6,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,13
PIT201504130,DET,2,1,1,0,0,X,0,1,cervf001,R,cervf001,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,9/L,F,F,2,7,2,T,T,0,F,F,1,F,F,0,F,F,9,L,F,F,,0,0,N,0,N,0,N,0,0,0,0,9,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,9,0,0,0,0,0,0,0,14
PIT201504130,DET,2,1,2,3,2,CSFBFBBX,0,1,mercj002,R,mercj002,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,S7/L,F,F,6,8,20,T,T,1,F,F,0,F,F,0,F,F,7,L,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,15
PIT201504130,DET,2,1,2,1,2,CBCS,0,1,coleg001,R,coleg001,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,mercj002,,,K,F,F,1,9,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,1,0,0,2,,,,F,F,F,F,F,F,F,F,F,sanca004,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,16
PIT201504130,DET,3,0,0,0,1,FX,0,1,iglej001,R,iglej001,R,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,43/G,T,F,6,8,2,T,T,0,F,F,1,F,F,0,F,F,4,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,43,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,4,0,0,0,0,17
PIT201504130,DET,3,0,1,0,2,CCC,0,1,sanca004,R,sanca004,R,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,K,F,F,1,9,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,18
PIT201504130,DET,3,0,2,1,2,SBSS,0,1,gosea001,L,gosea001,L,coleg001,R,coleg001,R,cervf001,alvap001,walkn001,harrj002,mercj002,marts002,mccua001,polag001,,,,K,F,F,8,1,3,T,T,0,F,F,1,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,0,0,0,0,2,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,2,0,0,0,0,0,0,0,19
PIT201504130,DET,3,1,0,2,2,BCFBX,0,1,harrj002,R,harrj002,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,,S4/G,T,F,5,1,20,T,T,1,F,F,0,F,F,0,F,F,4,G,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,20
PIT201504130,DET,3,1,0,1,1,B1>FX,0,1,polag001,L,polag001,L,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,harrj002,,,D9/L.1-3,F,F,9,2,21,T,T,2,F,F,0,F,F,0,F,F,9,L,F,F,,0,0,N,0,N,0,N,2,3,0,0,,,,,F,F,F,F,F,F,F,F,F,sanca004,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,21
PIT201504130,DET,3,1,0,1,2,BFFFX,0,1,mccua001,R,mccua001,R,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,polag001,harrj002,9/F/SF.3-H;2-3,F,F,8,3,2,T,F,0,F,T,1,F,F,1,F,F,9,F,F,F,,0,0,N,0,N,0,N,0,0,3,4,9,,,,F,F,F,F,F,F,F,F,F,,sanca004,sanca004,F,F,F,F,F,,,,,0,9,0,0,0,0,0,0,0,22
PIT201504130,DET,3,1,1,0,1,FX,0,2,walkn001,L,walkn001,L,sanca004,R,sanca004,R,avila001,cabrm001,kinsi001,castn001,iglej001,cespy001,gosea001,martj006,,,polag001,FC3/G.3XH(32),F,F,4,4,19,T,T,0,F,F,1,F,F,0,F,F,3,G,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,32,F,F,F,F,F,F,F,F,F,,,sanca004,F,F,F,F,F,,,,,0,2,0,0,3,0,0,0,0,23
