Date,Open,High,Low,Close,Volume,Adj Close
2015-08-14,0.12,0.13,0.12,0.13,2100,0.13
2015-08-13,0.12,0.145,0.12,0.145,1100,0.145
2015-08-12,0.12,0.155,0.12,0.15,19200,0.15
2015-08-11,0.16,0.16,0.16,0.16,000,0.16
2015-08-10,0.16,0.16,0.16,0.16,1000,0.16
2015-08-07,0.14,0.16,0.14,0.16,7100,0.16
2015-08-06,0.14,0.16,0.14,0.16,400,0.16
2015-08-05,0.16,0.16,0.16,0.16,000,0.16
2015-08-04,0.15,0.16,0.15,0.16,14500,0.16
2015-08-03,0.20,0.20,0.20,0.20,000,0.20
2015-07-31,0.20,0.20,0.193,0.20,9000,0.20
2015-07-30,0.20,0.20,0.20,0.20,200,0.20
2015-07-29,0.13,0.13,0.13,0.13,000,0.13
2015-07-28,0.13,0.13,0.13,0.13,000,0.13
2015-07-27,0.13,0.13,0.13,0.13,000,0.13
2015-07-24,0.14,0.14,0.13,0.13,15800,0.13
2015-07-23,0.14,0.16,0.12,0.16,62000,0.16
2015-07-22,0.25,0.25,0.13,0.25,5000,0.25
2015-07-21,0.25,0.25,0.13,0.13,1100,0.13
2015-07-20,0.13,0.13,0.13,0.13,000,0.13
2015-07-17,0.13,0.13,0.13,0.13,000,0.13
2015-07-16,0.13,0.13,0.13,0.13,000,0.13
2015-07-15,0.17,0.17,0.13,0.13,400,0.13
2015-07-14,0.20,0.20,0.11,0.17,59000,0.17
2015-07-13,0.16,0.16,0.16,0.16,000,0.16
2015-07-10,0.16,0.16,0.16,0.16,000,0.16
2015-07-09,0.16,0.16,0.16,0.16,000,0.16
2015-07-08,0.16,0.16,0.16,0.16,000,0.16
2015-07-07,0.16,0.16,0.16,0.16,000,0.16
2015-07-06,0.16,0.16,0.16,0.16,200,0.16
2015-07-02,0.18,0.18,0.18,0.18,000,0.18
2015-07-01,0.18,0.18,0.18,0.18,500,0.18
2015-06-30,0.18,0.25,0.18,0.18,20700,0.18
2015-06-29,0.20,0.20,0.16,0.20,33200,0.20
2015-06-26,0.22,0.35,0.16,0.16,34400,0.16
2015-06-25,0.202,0.22,0.18,0.22,12800,0.22
2015-06-24,0.142,0.201,0.142,0.201,64300,0.201
2015-06-23,0.145,0.145,0.145,0.145,000,0.145
2015-06-22,0.145,0.145,0.145,0.145,1500,0.145
2015-06-19,0.145,0.20,0.145,0.145,10500,0.145
2015-06-18,0.20,0.20,0.20,0.20,000,0.20
2015-06-17,0.14,0.20,0.14,0.20,5100,0.20
2015-06-16,0.17,0.17,0.17,0.17,100,0.17
2015-06-15,0.12,0.14,0.12,0.13,28700,0.13
2015-06-12,0.12,0.22,0.12,0.22,3100,0.22
2015-06-11,0.10,0.115,0.10,0.115,12100,0.115
2015-06-10,0.10,0.22,0.10,0.22,7600,0.22
2015-06-09,0.22,0.22,0.10,0.22,38800,0.22
2015-06-08,0.11,0.11,0.11,0.11,1000,0.11
2015-06-05,0.11,0.11,0.11,0.11,000,0.11
2015-06-04,0.11,0.11,0.11,0.11,000,0.11
2015-06-03,0.10,0.11,0.10,0.11,2100,0.11
2015-06-02,0.11,0.11,0.11,0.11,18900,0.11
2015-06-01,0.135,0.135,0.135,0.135,000,0.135
2015-05-29,0.135,0.135,0.135,0.135,000,0.135
2015-05-28,0.094,0.143,0.092,0.135,27600,0.135
2015-05-27,0.105,0.143,0.104,0.143,28300,0.143
2015-05-26,0.09,0.09,0.09,0.09,30000,0.09
2015-05-22,0.129,0.152,0.129,0.152,600,0.152
2015-05-21,0.15,0.15,0.15,0.15,000,0.15
2015-05-20,0.12,0.15,0.12,0.15,1500,0.15
2015-05-19,0.222,0.222,0.222,0.222,000,0.222
2015-05-18,0.222,0.222,0.222,0.222,000,0.222
2015-05-15,0.222,0.222,0.222,0.222,100,0.222
2015-05-14,0.09,0.135,0.09,0.135,2100,0.135
2015-05-13,0.09,0.15,0.09,0.15,1100,0.15
2015-05-12,0.15,0.15,0.15,0.15,000,0.15
2015-05-11,0.15,0.15,0.15,0.15,000,0.15
2015-05-08,0.15,0.15,0.15,0.15,000,0.15
2015-05-07,0.125,0.15,0.101,0.15,69500,0.15
2015-05-06,0.09,0.09,0.09,0.09,000,0.09
2015-05-05,0.09,0.09,0.09,0.09,1000,0.09
2015-05-04,0.09,0.09,0.09,0.09,000,0.09
2015-05-01,0.09,0.09,0.09,0.09,000,0.09
2015-04-30,0.09,0.09,0.09,0.09,000,0.09
2015-04-29,0.09,0.09,0.09,0.09,000,0.09
2015-04-28,0.09,0.09,0.09,0.09,1300,0.09
2015-04-27,0.09,0.09,0.09,0.09,000,0.09
2015-04-24,0.09,0.09,0.09,0.09,000,0.09
2015-04-23,0.09,0.09,0.09,0.09,800,0.09
2015-04-22,0.09,0.09,0.09,0.09,1100,0.09
2015-04-21,0.125,0.125,0.125,0.125,000,0.125
2015-04-20,0.125,0.125,0.125,0.125,000,0.125
2015-04-17,0.125,0.125,0.125,0.125,000,0.125
2015-04-16,0.125,0.125,0.125,0.125,1000,0.125
2015-04-15,0.09,0.125,0.09,0.125,5500,0.125
