Date,Open,High,Low,Close,Volume,Adj Close
2015-08-11,46.82,46.939999,45.900002,46.41,28384300,46.41
2015-08-10,46.950001,47.490002,46.84,47.330002,22928200,47.330002
2015-08-07,46.389999,46.779999,46.259998,46.740002,19145900,46.740002
2015-08-06,47.709999,47.77,46.330002,46.619999,26982200,46.619999
2015-08-05,47.98,48.41,47.540001,47.580002,26988600,47.580002
2015-08-04,46.75,47.709999,46.68,47.540001,33181700,47.540001
2015-08-03,46.98,47.00,46.450001,46.810001,23880800,46.810001
2015-07-31,47.290001,47.369999,46.50,46.700001,31191600,46.700001
2015-07-30,46.259998,47.400002,45.93,46.880001,39466900,46.880001
2015-07-29,45.400002,46.779999,45.259998,46.290001,40360400,46.290001
2015-07-28,45.580002,45.639999,44.790001,45.34,34177100,45.34
2015-07-27,45.939999,46.009998,45.25,45.349998,39189900,45.349998
2015-07-24,45.91,46.32,45.799999,45.939999,32077000,45.939999
2015-07-23,45.27,46.23,45.099998,46.110001,33465600,46.110001
2015-07-22,45.439999,46.93,45.200001,45.540001,58724600,45.540001
2015-07-21,46.779999,47.330002,46.48,47.279999,41205000,47.279999
2015-07-20,46.650002,47.130001,46.439999,46.919998,30271200,46.919998
2015-07-17,46.549999,46.779999,46.259998,46.619999,29262900,46.619999
2015-07-16,46.009998,46.689999,45.970001,46.66,25894400,46.66
2015-07-15,45.68,45.889999,45.43,45.759998,26482000,45.759998
2015-07-14,45.450001,45.959999,45.310001,45.619999,22723700,45.619999
2015-07-13,44.98,45.619999,44.950001,45.540001,24994700,45.540001
2015-07-10,45.009998,45.139999,44.57,44.610001,25365300,44.610001
2015-07-09,44.75,45.220001,44.50,44.52,32099800,44.52
2015-07-08,44.439999,44.900002,44.029999,44.240002,39686300,44.240002
2015-07-07,44.34,44.490002,43.32,44.299999,36418200,44.299999
2015-07-06,43.959999,44.48,43.950001,44.389999,22969700,44.389999
2015-07-02,44.48,44.75,44.060001,44.400002,21713000,44.400002
2015-07-01,44.459999,45.23,44.099998,44.450001,28337200,44.450001
2015-06-30,44.709999,44.720001,43.939999,44.150002,35214100,44.150002
2015-06-29,45.040001,45.23,44.360001,44.369999,33899600,44.369999
2015-06-26,45.650002,46.279999,45.029999,45.259998,45610900,45.259998
2015-06-25,46.029999,46.060001,45.50,45.650002,20569500,45.650002
2015-06-24,45.669998,46.25,45.549999,45.639999,34784600,45.639999
2015-06-23,46.130001,46.279999,45.619999,45.91,25787000,45.91
2015-06-22,46.330002,46.720001,46.16,46.23,20278600,46.23
2015-06-19,46.790001,46.830002,45.990002,46.099998,57500600,46.099998
2015-06-18,46.220001,46.799999,46.169998,46.720001,32184500,46.720001
2015-06-17,45.73,46.07,45.360001,45.970001,28566300,45.970001
2015-06-16,45.349998,46.240002,45.299999,45.830002,26822500,45.830002
2015-06-15,45.450001,45.650002,45.02,45.48,30080100,45.48
2015-06-12,46.220001,46.470001,45.900002,45.970001,23416200,45.970001
2015-06-11,46.66,46.919998,46.130001,46.439999,27186700,46.439999
2015-06-10,45.790001,46.830002,45.689999,46.610001,27952300,46.610001
2015-06-09,45.759998,45.939999,45.459999,45.650002,24124700,45.650002
2015-06-08,46.299999,46.43,45.669998,45.73,21822300,45.73
2015-06-05,46.310001,46.52,45.84,46.139999,25258900,46.139999
2015-06-04,46.790001,47.16,46.200001,46.360001,26868000,46.360001
2015-06-03,47.369999,47.740002,46.82,46.849998,27955200,46.849998
2015-06-02,46.93,47.349998,46.619999,46.919998,21283400,46.919998
2015-06-01,47.060001,47.77,46.619999,47.23,28592900,47.23
2015-05-29,47.43,47.57,46.59,46.860001,35428100,46.860001
2015-05-28,47.50,48.02,47.389999,47.450001,19283700,47.450001
2015-05-27,46.82,47.77,46.619999,47.610001,27335600,47.610001
2015-05-26,46.830002,46.880001,46.189999,46.59,29581900,46.59
2015-05-22,47.299999,47.349998,46.82,46.900002,25720600,46.900002
2015-05-21,47.279999,47.599998,47.009998,47.419998,22410700,47.419998
2015-05-20,47.389999,47.93,47.27,47.580002,25047900,47.580002
2015-05-19,47.560001,47.810001,47.18,47.580002,28574800,47.580002
2015-05-18,47.98,48.220001,47.610001,48.009998,24136500,47.699999
2015-05-15,48.869999,48.91,48.049999,48.299999,28642700,47.988128
2015-05-14,48.029999,48.82,48.029999,48.720001,32980900,48.405418
2015-05-13,48.189999,48.32,47.57,47.630001,34184600,47.322456
2015-05-12,46.849998,47.68,46.419998,47.349998,29928300,47.044261
2015-05-11,47.549999,47.91,47.369999,47.369999,24609400,47.064132
2015-05-08,47.549999,47.98,47.52,47.75,35364900,47.44168
2015-05-07,46.27,47.09,46.16,46.700001,32971700,46.39846
2015-05-06,47.57,47.77,46.02,46.279999,52433000,45.98117
2015-05-05,47.82,48.16,47.310001,47.599998,50369200,47.292647
2015-05-04,48.369999,48.869999,48.18,48.240002,34039500,47.928517
2015-05-01,48.580002,48.880001,48.400002,48.66,38937300,48.345804
2015-04-30,48.700001,49.540001,48.599998,48.639999,64725500,48.325932
2015-04-29,48.720001,49.310001,48.50,49.060001,47804600,48.743222
2015-04-28,47.779999,49.209999,47.700001,49.16,60730800,48.842575
2015-04-27,47.23,48.130001,47.220001,48.029999,59248200,47.71987
2015-04-24,45.66,48.139999,45.650002,47.869999,130933700,47.560904
2015-04-23,42.889999,43.610001,42.799999,43.34,46309500,43.060155
2015-04-22,42.669998,43.130001,42.549999,42.990002,25064300,42.712416
2015-04-21,43.00,43.150002,42.529999,42.639999,26013800,42.364674
2015-04-20,41.73,43.169998,41.68,42.91,46057700,42.632931
2015-04-17,41.669998,41.740002,41.16,41.619999,42387600,41.35126
2015-04-16,41.950001,42.34,41.82,42.16,22509700,41.887774
2015-04-15,41.759998,42.459999,41.68,42.259998,27343600,41.987127
2015-04-14,41.799999,42.029999,41.389999,41.650002,24244400,41.381069
2015-04-13,41.400002,42.060001,41.389999,41.759998,30276700,41.490355
2015-04-10,41.630001,41.950001,41.41,41.720001,28022000,41.450616
2015-04-09,41.25,41.619999,41.25,41.48,25723900,41.212164
2015-04-08,41.459999,41.689999,41.040001,41.419998,24753400,41.15255
2015-04-07,41.610001,41.91,41.310001,41.529999,28809400,41.261841
2015-04-06,40.34,41.779999,40.18,41.549999,39223700,41.281712
2015-04-02,40.66,40.740002,40.119999,40.290001,37487500,40.02985
2015-04-01,40.599998,40.759998,40.310001,40.720001,36865300,40.457073
2015-03-31,40.779999,41.029999,40.540001,40.66,34887200,40.397459
2015-03-30,41.099998,41.540001,40.91,40.959999,35049700,40.695522
2015-03-27,41.119999,41.43,40.830002,40.970001,34401400,40.705459
2015-03-26,41.220001,41.610001,40.919998,41.209999,37495600,40.943907
2015-03-25,42.919998,42.93,41.439999,41.459999,43469900,41.192293
2015-03-24,42.779999,43.169998,42.75,42.900002,25513300,42.622997
2015-03-23,42.880001,43.130001,42.779999,42.860001,26246100,42.583255
2015-03-20,42.560001,42.98,42.490002,42.880001,71904500,42.603126
2015-03-19,42.259998,42.59,42.220001,42.290001,33879100,42.016936
2015-03-18,41.43,42.830002,41.330002,42.50,44194800,42.225579
2015-03-17,41.369999,41.830002,41.150002,41.700001,31673400,41.430745
2015-03-16,41.470001,41.639999,41.279999,41.560001,35273500,41.29165
2015-03-13,40.700001,41.470001,40.610001,41.380001,58007700,41.112812
2015-03-12,41.330002,41.650002,40.860001,41.02,59992500,40.755135
2015-03-11,42.310001,42.369999,41.84,41.98,32215300,41.708936
2015-03-10,42.349998,42.709999,42.029999,42.029999,39159700,41.758612
2015-03-09,42.189999,43.130001,42.189999,42.849998,32108000,42.573317
2015-03-06,43.00,43.110001,42.150002,42.360001,36248800,42.086483
2015-03-05,43.07,43.240002,42.82,43.110001,23193500,42.831641
2015-03-04,43.009998,43.209999,42.880001,43.060001,25748700,42.781964
2015-03-03,43.560001,43.830002,43.09,43.279999,31748600,43.000541
2015-03-02,43.669998,44.189999,43.549999,43.880001,31924000,43.596669
2015-02-27,44.130001,44.200001,43.66,43.849998,33807700,43.56686
2015-02-26,43.990002,44.23,43.889999,44.060001,28957300,43.775507
2015-02-25,43.950001,44.09,43.799999,43.990002,29759800,43.70596
2015-02-24,44.150002,44.299999,43.919998,44.09,25271700,43.805312
2015-02-23,43.700001,44.189999,43.650002,44.150002,32518800,43.864926
2015-02-20,43.509998,43.880001,43.290001,43.860001,29721100,43.576798
2015-02-19,43.18,43.529999,43.049999,43.50,27603400,43.219122
2015-02-18,43.630001,43.700001,43.389999,43.529999,27111700,43.248927
2015-02-17,43.970001,44.00,43.189999,43.580002,33695700,43.298607
2015-02-13,43.380001,43.869999,43.150002,43.869999,40264900,43.278733
2015-02-12,42.66,43.09,42.509998,43.09,33268800,42.509247
2015-02-11,42.650002,42.650002,42.209999,42.380001,38262500,41.808817
2015-02-10,42.740002,42.77,42.18,42.599998,29670700,42.025849
2015-02-09,42.240002,42.740002,42.209999,42.360001,31381100,41.789086
2015-02-06,42.68,42.790001,42.150002,42.41,34311700,41.838411
2015-02-05,42.220001,42.639999,41.860001,42.450001,36548200,41.877873
2015-02-04,41.939999,42.209999,41.360001,41.84,41614800,41.276094
2015-02-03,41.630001,41.93,41.049999,41.599998,52082400,41.039327
2015-02-02,40.59,41.369999,40.23,41.279999,50352500,40.72364
2015-01-30,41.549999,41.580002,40.349998,40.400002,78004900,39.855503
2015-01-29,40.93,42.119999,40.790001,42.009998,63585300,41.443801
2015-01-28,42.740002,42.790001,41.16,41.189999,84507100,40.634853
2015-01-27,42.950001,43.200001,42.110001,42.66,169164000,42.085042
2015-01-26,47.00,47.130001,46.240002,47.009998,42525500,46.376412
2015-01-23,47.360001,47.389999,46.799999,47.18,26211600,46.544123
2015-01-22,46.380001,47.139999,46.080002,47.130001,35898000,46.494798
2015-01-21,45.939999,46.139999,45.48,45.919998,39081100,45.301103
2015-01-20,46.299999,46.650002,45.57,46.389999,36161900,45.76477
2015-01-16,45.310001,46.279999,45.169998,46.240002,35695300,45.616794
2015-01-15,46.220001,46.380001,45.41,45.48,32742300,44.867035
2015-01-14,45.959999,46.240002,45.619999,45.959999,29719600,45.340565
2015-01-13,46.970001,47.91,46.060001,46.360001,35270600,45.735175
2015-01-12,47.419998,47.540001,46.360001,46.599998,23651900,45.971938
2015-01-09,47.610001,47.82,46.900002,47.189999,23942800,46.553987
2015-01-08,46.75,47.75,46.720001,47.59,29645200,46.948597
2015-01-07,45.98,46.459999,45.490002,46.23,29114100,45.606926
2015-01-06,46.380001,46.75,45.540001,45.650002,36447900,45.034745
2015-01-05,46.369999,46.73,46.25,46.330002,39673900,45.705581
2015-01-02,46.66,47.419998,46.540001,46.759998,27913900,46.129782
2014-12-31,46.73,47.439999,46.450001,46.450001,21552500,45.823962
2014-12-30,47.439999,47.619999,46.84,47.02,16384700,46.38628
2014-12-29,47.700001,47.779999,47.259998,47.450001,14439500,46.810485
2014-12-26,48.41,48.41,47.82,47.880001,13197800,47.23469
2014-12-24,48.639999,48.639999,48.080002,48.139999,11437800,47.491184
2014-12-23,48.369999,48.799999,48.130001,48.450001,23648100,47.797007
2014-12-22,47.779999,48.119999,47.709999,47.98,26566000,47.33334
2014-12-19,47.630001,48.099998,47.169998,47.66,64551200,47.017653
2014-12-18,46.580002,47.52,46.34,47.52,40105600,46.879541
